Id;Date;Year;Month;Year_Month_Number;Year_Month_Name;Day;Day_Name;Day_Name_Short;Month_Name;Month_Name_Short;Quarter;Quarter_Name;Year_Quarter_Number;Year_Quarter_Name;Week_Number;Day_of_Year;Singular_Day;Name_Singular_Day
184;7/3/2020;2020;7;202007;2020-Jul;3;Friday;Fri;July;Jul;3;Q3;2020Q;2020 Q3;27;185;NORMAL;NORMAL
185;7/4/2020;2020;7;202007;2020-Jul;4;Saturday;Sat;July;Jul;3;Q3;2020Q;2020 Q3;27;186;SINGULAR;Independence Day
186;7/5/2020;2020;7;202007;2020-Jul;5;Sunday;Sun;July;Jul;3;Q3;2020Q;2020 Q3;27;187;NORMAL;NORMAL
187;7/6/2020;2020;7;202007;2020-Jul;6;Monday;Mon;July;Jul;3;Q3;2020Q;2020 Q3;28;188;NORMAL;NORMAL
188;7/7/2020;2020;7;202007;2020-Jul;7;Tuesday;Tue;July;Jul;3;Q3;2020Q;2020 Q3;28;189;NORMAL;NORMAL
189;7/8/2020;2020;7;202007;2020-Jul;8;Wednesday;Wed;July;Jul;3;Q3;2020Q;2020 Q3;28;190;NORMAL;NORMAL
190;7/9/2020;2020;7;202007;2020-Jul;9;Thursday;Thu;July;Jul;3;Q3;2020Q;2020 Q3;28;191;NORMAL;NORMAL
191;7/10/2020;2020;7;202007;2020-Jul;10;Friday;Fri;July;Jul;3;Q3;2020Q;2020 Q3;28;192;NORMAL;NORMAL
192;7/11/2020;2020;7;202007;2020-Jul;11;Saturday;Sat;July;Jul;3;Q3;2020Q;2020 Q3;28;193;NORMAL;NORMAL
193;7/12/2020;2020;7;202007;2020-Jul;12;Sunday;Sun;July;Jul;3;Q3;2020Q;2020 Q3;28;194;NORMAL;NORMAL
194;7/13/2020;2020;7;202007;2020-Jul;13;Monday;Mon;July;Jul;3;Q3;2020Q;2020 Q3;29;195;NORMAL;NORMAL
195;7/14/2020;2020;7;202007;2020-Jul;14;Tuesday;Tue;July;Jul;3;Q3;2020Q;2020 Q3;29;196;NORMAL;NORMAL
196;7/15/2020;2020;7;202007;2020-Jul;15;Wednesday;Wed;July;Jul;3;Q3;2020Q;2020 Q3;29;197;NORMAL;NORMAL
197;7/16/2020;2020;7;202007;2020-Jul;16;Thursday;Thu;July;Jul;3;Q3;2020Q;2020 Q3;29;198;NORMAL;NORMAL
198;7/17/2020;2020;7;202007;2020-Jul;17;Friday;Fri;July;Jul;3;Q3;2020Q;2020 Q3;29;199;NORMAL;NORMAL
199;7/18/2020;2020;7;202007;2020-Jul;18;Saturday;Sat;July;Jul;3;Q3;2020Q;2020 Q3;29;200;NORMAL;NORMAL
200;7/19/2020;2020;7;202007;2020-Jul;19;Sunday;Sun;July;Jul;3;Q3;2020Q;2020 Q3;29;201;NORMAL;NORMAL
201;7/20/2020;2020;7;202007;2020-Jul;20;Monday;Mon;July;Jul;3;Q3;2020Q;2020 Q3;30;202;NORMAL;NORMAL
202;7/21/2020;2020;7;202007;2020-Jul;21;Tuesday;Tue;July;Jul;3;Q3;2020Q;2020 Q3;30;203;NORMAL;NORMAL
203;7/22/2020;2020;7;202007;2020-Jul;22;Wednesday;Wed;July;Jul;3;Q3;2020Q;2020 Q3;30;204;NORMAL;NORMAL
204;7/23/2020;2020;7;202007;2020-Jul;23;Thursday;Thu;July;Jul;3;Q3;2020Q;2020 Q3;30;205;NORMAL;NORMAL
205;7/24/2020;2020;7;202007;2020-Jul;24;Friday;Fri;July;Jul;3;Q3;2020Q;2020 Q3;30;206;NORMAL;NORMAL
206;7/25/2020;2020;7;202007;2020-Jul;25;Saturday;Sat;July;Jul;3;Q3;2020Q;2020 Q3;30;207;NORMAL;NORMAL
207;7/26/2020;2020;7;202007;2020-Jul;26;Sunday;Sun;July;Jul;3;Q3;2020Q;2020 Q3;30;208;NORMAL;NORMAL
208;7/27/2020;2020;7;202007;2020-Jul;27;Monday;Mon;July;Jul;3;Q3;2020Q;2020 Q3;31;209;NORMAL;NORMAL
209;7/28/2020;2020;7;202007;2020-Jul;28;Tuesday;Tue;July;Jul;3;Q3;2020Q;2020 Q3;31;210;NORMAL;NORMAL
210;7/29/2020;2020;7;202007;2020-Jul;29;Wednesday;Wed;July;Jul;3;Q3;2020Q;2020 Q3;31;211;NORMAL;NORMAL
211;7/30/2020;2020;7;202007;2020-Jul;30;Thursday;Thu;July;Jul;3;Q3;2020Q;2020 Q3;31;212;NORMAL;NORMAL
212;7/31/2020;2020;7;202007;2020-Jul;31;Friday;Fri;July;Jul;3;Q3;2020Q;2020 Q3;31;213;NORMAL;NORMAL
213;8/1/2020;2020;8;202008;2020-Aug;1;Saturday;Sat;August;Aug;3;Q3;2020Q;2020 Q3;31;214;NORMAL;NORMAL
214;8/2/2020;2020;8;202008;2020-Aug;2;Sunday;Sun;August;Aug;3;Q3;2020Q;2020 Q3;31;215;NORMAL;NORMAL
215;8/3/2020;2020;8;202008;2020-Aug;3;Monday;Mon;August;Aug;3;Q3;2020Q;2020 Q3;32;216;NORMAL;NORMAL
216;8/4/2020;2020;8;202008;2020-Aug;4;Tuesday;Tue;August;Aug;3;Q3;2020Q;2020 Q3;32;217;NORMAL;NORMAL
217;8/5/2020;2020;8;202008;2020-Aug;5;Wednesday;Wed;August;Aug;3;Q3;2020Q;2020 Q3;32;218;NORMAL;NORMAL
218;8/6/2020;2020;8;202008;2020-Aug;6;Thursday;Thu;August;Aug;3;Q3;2020Q;2020 Q3;32;219;NORMAL;NORMAL
219;8/7/2020;2020;8;202008;2020-Aug;7;Friday;Fri;August;Aug;3;Q3;2020Q;2020 Q3;32;220;NORMAL;NORMAL
220;8/8/2020;2020;8;202008;2020-Aug;8;Saturday;Sat;August;Aug;3;Q3;2020Q;2020 Q3;32;221;NORMAL;NORMAL
221;8/9/2020;2020;8;202008;2020-Aug;9;Sunday;Sun;August;Aug;3;Q3;2020Q;2020 Q3;32;222;NORMAL;NORMAL
222;8/10/2020;2020;8;202008;2020-Aug;10;Monday;Mon;August;Aug;3;Q3;2020Q;2020 Q3;33;223;NORMAL;NORMAL
223;8/11/2020;2020;8;202008;2020-Aug;11;Tuesday;Tue;August;Aug;3;Q3;2020Q;2020 Q3;33;224;NORMAL;NORMAL
224;8/12/2020;2020;8;202008;2020-Aug;12;Wednesday;Wed;August;Aug;3;Q3;2020Q;2020 Q3;33;225;NORMAL;NORMAL
225;8/13/2020;2020;8;202008;2020-Aug;13;Thursday;Thu;August;Aug;3;Q3;2020Q;2020 Q3;33;226;NORMAL;NORMAL
226;8/14/2020;2020;8;202008;2020-Aug;14;Friday;Fri;August;Aug;3;Q3;2020Q;2020 Q3;33;227;NORMAL;NORMAL
227;8/15/2020;2020;8;202008;2020-Aug;15;Saturday;Sat;August;Aug;3;Q3;2020Q;2020 Q3;33;228;NORMAL;NORMAL
228;8/16/2020;2020;8;202008;2020-Aug;16;Sunday;Sun;August;Aug;3;Q3;2020Q;2020 Q3;33;229;NORMAL;NORMAL
229;8/17/2020;2020;8;202008;2020-Aug;17;Monday;Mon;August;Aug;3;Q3;2020Q;2020 Q3;34;230;NORMAL;NORMAL
230;8/18/2020;2020;8;202008;2020-Aug;18;Tuesday;Tue;August;Aug;3;Q3;2020Q;2020 Q3;34;231;NORMAL;NORMAL
231;8/19/2020;2020;8;202008;2020-Aug;19;Wednesday;Wed;August;Aug;3;Q3;2020Q;2020 Q3;34;232;NORMAL;NORMAL
232;8/20/2020;2020;8;202008;2020-Aug;20;Thursday;Thu;August;Aug;3;Q3;2020Q;2020 Q3;34;233;NORMAL;NORMAL
233;8/21/2020;2020;8;202008;2020-Aug;21;Friday;Fri;August;Aug;3;Q3;2020Q;2020 Q3;34;234;NORMAL;NORMAL
234;8/22/2020;2020;8;202008;2020-Aug;22;Saturday;Sat;August;Aug;3;Q3;2020Q;2020 Q3;34;235;NORMAL;NORMAL
235;8/23/2020;2020;8;202008;2020-Aug;23;Sunday;Sun;August;Aug;3;Q3;2020Q;2020 Q3;34;236;NORMAL;NORMAL
236;8/24/2020;2020;8;202008;2020-Aug;24;Monday;Mon;August;Aug;3;Q3;2020Q;2020 Q3;35;237;NORMAL;NORMAL
237;8/25/2020;2020;8;202008;2020-Aug;25;Tuesday;Tue;August;Aug;3;Q3;2020Q;2020 Q3;35;238;NORMAL;NORMAL
238;8/26/2020;2020;8;202008;2020-Aug;26;Wednesday;Wed;August;Aug;3;Q3;2020Q;2020 Q3;35;239;NORMAL;NORMAL
239;8/27/2020;2020;8;202008;2020-Aug;27;Thursday;Thu;August;Aug;3;Q3;2020Q;2020 Q3;35;240;NORMAL;NORMAL
240;8/28/2020;2020;8;202008;2020-Aug;28;Friday;Fri;August;Aug;3;Q3;2020Q;2020 Q3;35;241;NORMAL;NORMAL
241;8/29/2020;2020;8;202008;2020-Aug;29;Saturday;Sat;August;Aug;3;Q3;2020Q;2020 Q3;35;242;NORMAL;NORMAL
242;8/30/2020;2020;8;202008;2020-Aug;30;Sunday;Sun;August;Aug;3;Q3;2020Q;2020 Q3;35;243;NORMAL;NORMAL
243;8/31/2020;2020;8;202008;2020-Aug;31;Monday;Mon;August;Aug;3;Q3;2020Q;2020 Q3;36;244;NORMAL;NORMAL
244;9/1/2020;2020;9;202009;2020-Sep;1;Tuesday;Tue;September;Sep;3;Q3;2020Q;2020 Q3;36;245;NORMAL;NORMAL
245;9/2/2020;2020;9;202009;2020-Sep;2;Wednesday;Wed;September;Sep;3;Q3;2020Q;2020 Q3;36;246;NORMAL;NORMAL
246;9/3/2020;2020;9;202009;2020-Sep;3;Thursday;Thu;September;Sep;3;Q3;2020Q;2020 Q3;36;247;NORMAL;NORMAL
247;9/4/2020;2020;9;202009;2020-Sep;4;Friday;Fri;September;Sep;3;Q3;2020Q;2020 Q3;36;248;NORMAL;NORMAL
248;9/5/2020;2020;9;202009;2020-Sep;5;Saturday;Sat;September;Sep;3;Q3;2020Q;2020 Q3;36;249;NORMAL;NORMAL
249;9/6/2020;2020;9;202009;2020-Sep;6;Sunday;Sun;September;Sep;3;Q3;2020Q;2020 Q3;36;250;NORMAL;NORMAL
250;9/7/2020;2020;9;202009;2020-Sep;7;Monday;Mon;September;Sep;3;Q3;2020Q;2020 Q3;37;251;NORMAL;NORMAL
251;9/8/2020;2020;9;202009;2020-Sep;8;Tuesday;Tue;September;Sep;3;Q3;2020Q;2020 Q3;37;252;NORMAL;NORMAL
252;9/9/2020;2020;9;202009;2020-Sep;9;Wednesday;Wed;September;Sep;3;Q3;2020Q;2020 Q3;37;253;NORMAL;NORMAL
253;9/10/2020;2020;9;202009;2020-Sep;10;Thursday;Thu;September;Sep;3;Q3;2020Q;2020 Q3;37;254;NORMAL;NORMAL
254;9/11/2020;2020;9;202009;2020-Sep;11;Friday;Fri;September;Sep;3;Q3;2020Q;2020 Q3;37;255;NORMAL;NORMAL
255;9/12/2020;2020;9;202009;2020-Sep;12;Saturday;Sat;September;Sep;3;Q3;2020Q;2020 Q3;37;256;NORMAL;NORMAL
256;9/13/2020;2020;9;202009;2020-Sep;13;Sunday;Sun;September;Sep;3;Q3;2020Q;2020 Q3;37;257;NORMAL;NORMAL
257;9/14/2020;2020;9;202009;2020-Sep;14;Monday;Mon;September;Sep;3;Q3;2020Q;2020 Q3;38;258;NORMAL;NORMAL
258;9/15/2020;2020;9;202009;2020-Sep;15;Tuesday;Tue;September;Sep;3;Q3;2020Q;2020 Q3;38;259;NORMAL;NORMAL
259;9/16/2020;2020;9;202009;2020-Sep;16;Wednesday;Wed;September;Sep;3;Q3;2020Q;2020 Q3;38;260;NORMAL;NORMAL
260;9/17/2020;2020;9;202009;2020-Sep;17;Thursday;Thu;September;Sep;3;Q3;2020Q;2020 Q3;38;261;NORMAL;NORMAL
261;9/18/2020;2020;9;202009;2020-Sep;18;Friday;Fri;September;Sep;3;Q3;2020Q;2020 Q3;38;262;NORMAL;NORMAL
262;9/19/2020;2020;9;202009;2020-Sep;19;Saturday;Sat;September;Sep;3;Q3;2020Q;2020 Q3;38;263;NORMAL;NORMAL
263;9/20/2020;2020;9;202009;2020-Sep;20;Sunday;Sun;September;Sep;3;Q3;2020Q;2020 Q3;38;264;NORMAL;NORMAL
264;9/21/2020;2020;9;202009;2020-Sep;21;Monday;Mon;September;Sep;3;Q3;2020Q;2020 Q3;39;265;NORMAL;NORMAL
265;9/22/2020;2020;9;202009;2020-Sep;22;Tuesday;Tue;September;Sep;3;Q3;2020Q;2020 Q3;39;266;NORMAL;NORMAL
266;9/23/2020;2020;9;202009;2020-Sep;23;Wednesday;Wed;September;Sep;3;Q3;2020Q;2020 Q3;39;267;NORMAL;NORMAL
267;9/24/2020;2020;9;202009;2020-Sep;24;Thursday;Thu;September;Sep;3;Q3;2020Q;2020 Q3;39;268;NORMAL;NORMAL
268;9/25/2020;2020;9;202009;2020-Sep;25;Friday;Fri;September;Sep;3;Q3;2020Q;2020 Q3;39;269;NORMAL;NORMAL
269;9/26/2020;2020;9;202009;2020-Sep;26;Saturday;Sat;September;Sep;3;Q3;2020Q;2020 Q3;39;270;NORMAL;NORMAL
270;9/27/2020;2020;9;202009;2020-Sep;27;Sunday;Sun;September;Sep;3;Q3;2020Q;2020 Q3;39;271;NORMAL;NORMAL
271;9/28/2020;2020;9;202009;2020-Sep;28;Monday;Mon;September;Sep;3;Q3;2020Q;2020 Q3;40;272;NORMAL;NORMAL
272;9/29/2020;2020;9;202009;2020-Sep;29;Tuesday;Tue;September;Sep;3;Q3;2020Q;2020 Q3;40;273;NORMAL;NORMAL
273;9/30/2020;2020;9;202009;2020-Sep;30;Wednesday;Wed;September;Sep;3;Q3;2020Q;2020 Q3;40;274;NORMAL;NORMAL
274;10/1/2020;2020;10;202010;2020-Oct;1;Thursday;Thu;October;Oct;4;Q4;2020Q;2020 Q4;40;275;NORMAL;NORMAL
275;10/2/2020;2020;10;202010;2020-Oct;2;Friday;Fri;October;Oct;4;Q4;2020Q;2020 Q4;40;276;NORMAL;NORMAL
276;10/3/2020;2020;10;202010;2020-Oct;3;Saturday;Sat;October;Oct;4;Q4;2020Q;2020 Q4;40;277;NORMAL;NORMAL
277;10/4/2020;2020;10;202010;2020-Oct;4;Sunday;Sun;October;Oct;4;Q4;2020Q;2020 Q4;40;278;NORMAL;NORMAL
278;10/5/2020;2020;10;202010;2020-Oct;5;Monday;Mon;October;Oct;4;Q4;2020Q;2020 Q4;41;279;NORMAL;NORMAL
279;10/6/2020;2020;10;202010;2020-Oct;6;Tuesday;Tue;October;Oct;4;Q4;2020Q;2020 Q4;41;280;NORMAL;NORMAL
280;10/7/2020;2020;10;202010;2020-Oct;7;Wednesday;Wed;October;Oct;4;Q4;2020Q;2020 Q4;41;281;NORMAL;NORMAL
281;10/8/2020;2020;10;202010;2020-Oct;8;Thursday;Thu;October;Oct;4;Q4;2020Q;2020 Q4;41;282;NORMAL;NORMAL
282;10/9/2020;2020;10;202010;2020-Oct;9;Friday;Fri;October;Oct;4;Q4;2020Q;2020 Q4;41;283;NORMAL;NORMAL
283;10/10/2020;2020;10;202010;2020-Oct;10;Saturday;Sat;October;Oct;4;Q4;2020Q;2020 Q4;41;284;NORMAL;NORMAL
284;10/11/2020;2020;10;202010;2020-Oct;11;Sunday;Sun;October;Oct;4;Q4;2020Q;2020 Q4;41;285;NORMAL;NORMAL
285;10/12/2020;2020;10;202010;2020-Oct;12;Monday;Mon;October;Oct;4;Q4;2020Q;2020 Q4;42;286;NORMAL;NORMAL
286;10/13/2020;2020;10;202010;2020-Oct;13;Tuesday;Tue;October;Oct;4;Q4;2020Q;2020 Q4;42;287;NORMAL;NORMAL
287;10/14/2020;2020;10;202010;2020-Oct;14;Wednesday;Wed;October;Oct;4;Q4;2020Q;2020 Q4;42;288;NORMAL;NORMAL
288;10/15/2020;2020;10;202010;2020-Oct;15;Thursday;Thu;October;Oct;4;Q4;2020Q;2020 Q4;42;289;NORMAL;NORMAL
289;10/16/2020;2020;10;202010;2020-Oct;16;Friday;Fri;October;Oct;4;Q4;2020Q;2020 Q4;42;290;NORMAL;NORMAL
290;10/17/2020;2020;10;202010;2020-Oct;17;Saturday;Sat;October;Oct;4;Q4;2020Q;2020 Q4;42;291;NORMAL;NORMAL
291;10/18/2020;2020;10;202010;2020-Oct;18;Sunday;Sun;October;Oct;4;Q4;2020Q;2020 Q4;42;292;NORMAL;NORMAL
292;10/19/2020;2020;10;202010;2020-Oct;19;Monday;Mon;October;Oct;4;Q4;2020Q;2020 Q4;43;293;NORMAL;NORMAL
293;10/20/2020;2020;10;202010;2020-Oct;20;Tuesday;Tue;October;Oct;4;Q4;2020Q;2020 Q4;43;294;NORMAL;NORMAL
294;10/21/2020;2020;10;202010;2020-Oct;21;Wednesday;Wed;October;Oct;4;Q4;2020Q;2020 Q4;43;295;NORMAL;NORMAL
295;10/22/2020;2020;10;202010;2020-Oct;22;Thursday;Thu;October;Oct;4;Q4;2020Q;2020 Q4;43;296;NORMAL;NORMAL
296;10/23/2020;2020;10;202010;2020-Oct;23;Friday;Fri;October;Oct;4;Q4;2020Q;2020 Q4;43;297;NORMAL;NORMAL
297;10/24/2020;2020;10;202010;2020-Oct;24;Saturday;Sat;October;Oct;4;Q4;2020Q;2020 Q4;43;298;NORMAL;NORMAL
298;10/25/2020;2020;10;202010;2020-Oct;25;Sunday;Sun;October;Oct;4;Q4;2020Q;2020 Q4;43;299;NORMAL;NORMAL
299;10/26/2020;2020;10;202010;2020-Oct;26;Monday;Mon;October;Oct;4;Q4;2020Q;2020 Q4;44;300;NORMAL;NORMAL
300;10/27/2020;2020;10;202010;2020-Oct;27;Tuesday;Tue;October;Oct;4;Q4;2020Q;2020 Q4;44;301;NORMAL;NORMAL
301;10/28/2020;2020;10;202010;2020-Oct;28;Wednesday;Wed;October;Oct;4;Q4;2020Q;2020 Q4;44;302;NORMAL;NORMAL
302;10/29/2020;2020;10;202010;2020-Oct;29;Thursday;Thu;October;Oct;4;Q4;2020Q;2020 Q4;44;303;NORMAL;NORMAL
303;10/30/2020;2020;10;202010;2020-Oct;30;Friday;Fri;October;Oct;4;Q4;2020Q;2020 Q4;44;304;NORMAL;NORMAL
304;10/31/2020;2020;10;202010;2020-Oct;31;Saturday;Sat;October;Oct;4;Q4;2020Q;2020 Q4;44;305;NORMAL;NORMAL
305;11/1/2020;2020;11;202011;2020-Nov;1;Sunday;Sun;November;Nov;4;Q4;2020Q;2020 Q4;44;306;NORMAL;NORMAL
306;11/2/2020;2020;11;202011;2020-Nov;2;Monday;Mon;November;Nov;4;Q4;2020Q;2020 Q4;45;307;NORMAL;NORMAL
307;11/3/2020;2020;11;202011;2020-Nov;3;Tuesday;Tue;November;Nov;4;Q4;2020Q;2020 Q4;45;308;NORMAL;NORMAL
308;11/4/2020;2020;11;202011;2020-Nov;4;Wednesday;Wed;November;Nov;4;Q4;2020Q;2020 Q4;45;309;NORMAL;NORMAL
309;11/5/2020;2020;11;202011;2020-Nov;5;Thursday;Thu;November;Nov;4;Q4;2020Q;2020 Q4;45;310;NORMAL;NORMAL
310;11/6/2020;2020;11;202011;2020-Nov;6;Friday;Fri;November;Nov;4;Q4;2020Q;2020 Q4;45;311;NORMAL;NORMAL
311;11/7/2020;2020;11;202011;2020-Nov;7;Saturday;Sat;November;Nov;4;Q4;2020Q;2020 Q4;45;312;NORMAL;NORMAL
312;11/8/2020;2020;11;202011;2020-Nov;8;Sunday;Sun;November;Nov;4;Q4;2020Q;2020 Q4;45;313;NORMAL;NORMAL
313;11/9/2020;2020;11;202011;2020-Nov;9;Monday;Mon;November;Nov;4;Q4;2020Q;2020 Q4;46;314;NORMAL;NORMAL
314;11/10/2020;2020;11;202011;2020-Nov;10;Tuesday;Tue;November;Nov;4;Q4;2020Q;2020 Q4;46;315;NORMAL;NORMAL
315;11/11/2020;2020;11;202011;2020-Nov;11;Wednesday;Wed;November;Nov;4;Q4;2020Q;2020 Q4;46;316;NORMAL;NORMAL
316;11/12/2020;2020;11;202011;2020-Nov;12;Thursday;Thu;November;Nov;4;Q4;2020Q;2020 Q4;46;317;NORMAL;NORMAL
317;11/13/2020;2020;11;202011;2020-Nov;13;Friday;Fri;November;Nov;4;Q4;2020Q;2020 Q4;46;318;NORMAL;NORMAL
318;11/14/2020;2020;11;202011;2020-Nov;14;Saturday;Sat;November;Nov;4;Q4;2020Q;2020 Q4;46;319;NORMAL;NORMAL
319;11/15/2020;2020;11;202011;2020-Nov;15;Sunday;Sun;November;Nov;4;Q4;2020Q;2020 Q4;46;320;NORMAL;NORMAL
320;11/16/2020;2020;11;202011;2020-Nov;16;Monday;Mon;November;Nov;4;Q4;2020Q;2020 Q4;47;321;NORMAL;NORMAL
321;11/17/2020;2020;11;202011;2020-Nov;17;Tuesday;Tue;November;Nov;4;Q4;2020Q;2020 Q4;47;322;NORMAL;NORMAL
322;11/18/2020;2020;11;202011;2020-Nov;18;Wednesday;Wed;November;Nov;4;Q4;2020Q;2020 Q4;47;323;NORMAL;NORMAL
323;11/19/2020;2020;11;202011;2020-Nov;19;Thursday;Thu;November;Nov;4;Q4;2020Q;2020 Q4;47;324;NORMAL;NORMAL
324;11/20/2020;2020;11;202011;2020-Nov;20;Friday;Fri;November;Nov;4;Q4;2020Q;2020 Q4;47;325;NORMAL;NORMAL
325;11/21/2020;2020;11;202011;2020-Nov;21;Saturday;Sat;November;Nov;4;Q4;2020Q;2020 Q4;47;326;NORMAL;NORMAL
326;11/22/2020;2020;11;202011;2020-Nov;22;Sunday;Sun;November;Nov;4;Q4;2020Q;2020 Q4;47;327;NORMAL;NORMAL
327;11/23/2020;2020;11;202011;2020-Nov;23;Monday;Mon;November;Nov;4;Q4;2020Q;2020 Q4;48;328;NORMAL;NORMAL
328;11/24/2020;2020;11;202011;2020-Nov;24;Tuesday;Tue;November;Nov;4;Q4;2020Q;2020 Q4;48;329;NORMAL;NORMAL
329;11/25/2020;2020;11;202011;2020-Nov;25;Wednesday;Wed;November;Nov;4;Q4;2020Q;2020 Q4;48;330;SINGULAR;Black Friday
330;11/26/2020;2020;11;202011;2020-Nov;26;Thursday;Thu;November;Nov;4;Q4;2020Q;2020 Q4;48;331;NORMAL;NORMAL
331;11/27/2020;2020;11;202011;2020-Nov;27;Friday;Fri;November;Nov;4;Q4;2020Q;2020 Q4;48;332;NORMAL;NORMAL
332;11/28/2020;2020;11;202011;2020-Nov;28;Saturday;Sat;November;Nov;4;Q4;2020Q;2020 Q4;48;333;NORMAL;NORMAL
333;11/29/2020;2020;11;202011;2020-Nov;29;Sunday;Sun;November;Nov;4;Q4;2020Q;2020 Q4;48;334;NORMAL;NORMAL
334;11/30/2020;2020;11;202011;2020-Nov;30;Monday;Mon;November;Nov;4;Q4;2020Q;2020 Q4;49;335;NORMAL;NORMAL
335;12/1/2020;2020;12;202012;2020-Dec;1;Tuesday;Tue;December;Dec;4;Q4;2020Q;2020 Q4;49;336;NORMAL;NORMAL
336;12/2/2020;2020;12;202012;2020-Dec;2;Wednesday;Wed;December;Dec;4;Q4;2020Q;2020 Q4;49;337;NORMAL;NORMAL
337;12/3/2020;2020;12;202012;2020-Dec;3;Thursday;Thu;December;Dec;4;Q4;2020Q;2020 Q4;49;338;NORMAL;NORMAL
338;12/4/2020;2020;12;202012;2020-Dec;4;Friday;Fri;December;Dec;4;Q4;2020Q;2020 Q4;49;339;NORMAL;NORMAL
339;12/5/2020;2020;12;202012;2020-Dec;5;Saturday;Sat;December;Dec;4;Q4;2020Q;2020 Q4;49;340;NORMAL;NORMAL
340;12/6/2020;2020;12;202012;2020-Dec;6;Sunday;Sun;December;Dec;4;Q4;2020Q;2020 Q4;49;341;NORMAL;NORMAL
341;12/7/2020;2020;12;202012;2020-Dec;7;Monday;Mon;December;Dec;4;Q4;2020Q;2020 Q4;50;342;NORMAL;NORMAL
342;12/8/2020;2020;12;202012;2020-Dec;8;Tuesday;Tue;December;Dec;4;Q4;2020Q;2020 Q4;50;343;NORMAL;NORMAL
343;12/9/2020;2020;12;202012;2020-Dec;9;Wednesday;Wed;December;Dec;4;Q4;2020Q;2020 Q4;50;344;NORMAL;NORMAL
344;12/10/2020;2020;12;202012;2020-Dec;10;Thursday;Thu;December;Dec;4;Q4;2020Q;2020 Q4;50;345;NORMAL;NORMAL
345;12/11/2020;2020;12;202012;2020-Dec;11;Friday;Fri;December;Dec;4;Q4;2020Q;2020 Q4;50;346;NORMAL;NORMAL
346;12/12/2020;2020;12;202012;2020-Dec;12;Saturday;Sat;December;Dec;4;Q4;2020Q;2020 Q4;50;347;NORMAL;NORMAL
347;12/13/2020;2020;12;202012;2020-Dec;13;Sunday;Sun;December;Dec;4;Q4;2020Q;2020 Q4;50;348;NORMAL;NORMAL
348;12/14/2020;2020;12;202012;2020-Dec;14;Monday;Mon;December;Dec;4;Q4;2020Q;2020 Q4;51;349;NORMAL;NORMAL
349;12/15/2020;2020;12;202012;2020-Dec;15;Tuesday;Tue;December;Dec;4;Q4;2020Q;2020 Q4;51;350;NORMAL;NORMAL
350;12/16/2020;2020;12;202012;2020-Dec;16;Wednesday;Wed;December;Dec;4;Q4;2020Q;2020 Q4;51;351;NORMAL;NORMAL
351;12/17/2020;2020;12;202012;2020-Dec;17;Thursday;Thu;December;Dec;4;Q4;2020Q;2020 Q4;51;352;SINGULAR;Super Saturday
352;12/18/2020;2020;12;202012;2020-Dec;18;Friday;Fri;December;Dec;4;Q4;2020Q;2020 Q4;51;353;NORMAL;NORMAL
353;12/19/2020;2020;12;202012;2020-Dec;19;Saturday;Sat;December;Dec;4;Q4;2020Q;2020 Q4;51;354;NORMAL;NORMAL
354;12/20/2020;2020;12;202012;2020-Dec;20;Sunday;Sun;December;Dec;4;Q4;2020Q;2020 Q4;51;355;NORMAL;NORMAL
355;12/21/2020;2020;12;202012;2020-Dec;21;Monday;Mon;December;Dec;4;Q4;2020Q;2020 Q4;52;356;NORMAL;NORMAL
356;12/22/2020;2020;12;202012;2020-Dec;22;Tuesday;Tue;December;Dec;4;Q4;2020Q;2020 Q4;52;357;NORMAL;NORMAL
357;12/23/2020;2020;12;202012;2020-Dec;23;Wednesday;Wed;December;Dec;4;Q4;2020Q;2020 Q4;52;358;NORMAL;NORMAL
358;12/24/2020;2020;12;202012;2020-Dec;24;Thursday;Thu;December;Dec;4;Q4;2020Q;2020 Q4;52;359;NORMAL;NORMAL
359;12/25/2020;2020;12;202012;2020-Dec;25;Friday;Fri;December;Dec;4;Q4;2020Q;2020 Q4;52;360;NORMAL;NORMAL
360;12/26/2020;2020;12;202012;2020-Dec;26;Saturday;Sat;December;Dec;4;Q4;2020Q;2020 Q4;52;361;NORMAL;NORMAL
361;12/27/2020;2020;12;202012;2020-Dec;27;Sunday;Sun;December;Dec;4;Q4;2020Q;2020 Q4;52;362;NORMAL;NORMAL
362;12/28/2020;2020;12;202012;2020-Dec;28;Monday;Mon;December;Dec;4;Q4;2020Q;2020 Q4;53;363;NORMAL;NORMAL
363;12/29/2020;2020;12;202012;2020-Dec;29;Tuesday;Tue;December;Dec;4;Q4;2020Q;2020 Q4;53;364;NORMAL;NORMAL
364;12/30/2020;2020;12;202012;2020-Dec;30;Wednesday;Wed;December;Dec;4;Q4;2020Q;2020 Q4;53;365;NORMAL;NORMAL
365;12/31/2020;2020;12;202012;2020-Dec;31;Thursday;Thu;December;Dec;4;Q4;2020Q;2020 Q4;53;366;NORMAL;NORMAL
366;1/1/2021;2021;1;202101;2021-Jan;1;Friday;Fri;January;Jan;1;Q1;2021Q;2021 Q1;53;1;NORMAL;NORMAL
367;1/2/2021;2021;1;202101;2021-Jan;2;Saturday;Sat;January;Jan;1;Q1;2021Q;2021 Q1;53;2;NORMAL;NORMAL
